Scene,Start Time,End Time,Duration (seconds)
1,00:00:00.000,00:00:01.168,2
2,00:00:01.168,00:00:04.471,4
3,00:00:04.471,00:00:05.906,2
4,00:00:05.906,00:00:07.474,2
5,00:00:07.474,00:00:08.642,2
6,00:00:08.642,00:00:10.277,2
7,00:00:10.277,00:00:11.645,2
8,00:00:11.645,00:00:14.882,4
9,00:00:14.882,00:00:38.872,24
10,00:00:38.872,00:00:57.891,20
11,00:00:57.891,00:01:17.911,21
12,00:01:17.911,00:02:37.891,80
13,00:02:37.891,00:02:38.992,2
14,00:02:38.992,00:02:44.998,7
15,00:02:44.998,00:03:05.018,21
16,00:03:05.018,00:04:57.130,113
17,00:04:57.130,00:06:11.671,75
18,00:06:11.671,00:07:02.255,51
19,00:07:02.255,00:07:08.261,7
20,00:07:08.261,00:07:09.262,2
21,00:07:09.262,00:07:12.265,4
22,00:07:12.265,00:07:13.266,2
23,00:07:13.266,00:07:36.489,24
24,00:07:36.489,00:07:44.931,9
25,00:07:44.931,00:08:30.810,46
26,00:08:30.810,00:08:31.611,1
27,00:08:31.611,00:08:58.571,27
28,00:08:58.571,00:09:00.340,2
29,00:09:00.340,00:09:02.409,3
30,00:09:02.409,00:09:09.916,8
31,00:09:09.916,00:09:12.485,3
32,00:09:12.485,00:09:15.688,4
33,00:09:15.688,00:09:20.927,6
34,00:09:20.927,00:09:31.871,11
35,00:09:31.871,00:09:33.373,2
36,00:09:33.373,00:09:38.311,5
37,00:09:38.311,00:09:40.346,3
38,00:09:40.346,00:10:16.316,36
39,00:10:16.316,00:10:19.119,3
40,00:10:19.119,00:10:24.858,6
41,00:10:24.858,00:10:28.194,4
42,00:10:28.194,00:10:33.933,6
43,00:10:33.933,00:10:36.803,3
44,00:10:36.803,00:10:39.873,4
45,00:10:39.873,00:10:41.374,2
46,00:10:41.374,00:10:49.048,8
47,00:10:49.048,00:10:53.486,5
48,00:10:53.486,00:10:59.559,7
49,00:10:59.559,00:11:02.462,3
50,00:11:02.462,00:11:08.768,7
51,00:11:08.768,00:11:45.171,37
52,00:11:45.171,00:11:52.979,8
53,00:11:52.979,00:11:55.148,3
54,00:11:55.148,00:11:56.916,2
55,00:11:56.916,00:11:59.886,3
