epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6012,2.9979,8.36677,1.83628,0.00017,0.02941,0.0001,4e-05,3.06153,7.56452,1.76395,2.856e-05,2.856e-05,2.856e-05
2,8.51448,3.07829,8.00045,1.83082,0.00143,0.26471,0.00113,0.00054,2.46903,10.2042,1.59014,6.29877e-05,6.29877e-05,6.29877e-05
3,12.6984,2.02114,3.92188,1.40889,0.68742,0.4334,0.45397,0.18605,1.7984,5.69468,1.31933,9.60016e-05,9.60016e-05,9.60016e-05
4,16.8599,1.63945,2.48424,1.18262,0.68191,0.7831,0.74083,0.44601,1.43537,2.97214,1.09452,0.000127602,0.000127602,0.000127602
5,21.0386,1.40166,1.7934,1.04966,0.89161,0.69853,0.85134,0.55207,1.24284,1.81579,0.99589,0.000157788,0.000157788,0.000157788
6,25.2289,1.23948,1.44759,0.97885,0.89206,0.82353,0.91848,0.63342,1.10319,1.01805,0.93528,0.000186561,0.000186561,0.000186561
7,29.411,1.22955,1.32726,0.9717,0.89824,0.88235,0.92732,0.67012,1.04277,1.03626,0.93999,0.00021392,0.00021392,0.00021392
8,33.5859,1.16518,1.10576,0.93956,0.88188,0.94118,0.8979,0.60025,1.06041,1.05468,0.90956,0.000239865,0.000239865,0.000239865
9,37.6675,1.11639,1.02874,0.93168,0.55052,0.93934,0.60399,0.40168,1.09306,2.59945,0.91553,0.000264397,0.000264397,0.000264397
10,41.7131,1.10386,0.99475,0.93226,0.49472,0.98376,0.51304,0.34381,1.09874,5.76856,0.92365,0.000287515,0.000287515,0.000287515
11,45.7396,1.08268,0.87572,0.93365,0.61748,1,0.65219,0.44573,1.03872,3.7315,0.91969,0.000309219,0.000309219,0.000309219
12,49.7784,1.09732,0.86866,0.94553,0.82481,0.99172,0.86513,0.61404,1.09377,1.18958,0.93175,0.00032951,0.00032951,0.00032951
13,53.7939,1.02996,0.80983,0.92081,0.85564,1,0.92833,0.66555,1.06115,0.75029,0.9249,0.000348386,0.000348386,0.000348386
